run_id,mechanism,stage,lambda_multiplier,reference_lambda_multiplier,reference_bracket_low_multiplier,reference_bracket_high_multiplier,adam_steps,adam_learning_rate,initialization,objective_gain_over_zero,task_loss_gain_over_zero,energy_penalty,energy_mean,max_norm_over_cap,mean_norm_over_cap,cap_bound_fraction,finite_status,gradient_status,gradient_norm,useful,interior,valid,failure_mode,optimizer_success,optimizer_status,match_reference_region
open_loop_small,affine,stage1_grid,2.1810154653305154,2.1810154653305154,2.0,2.1810154653305154,12,0.0001,zero,3174.9192190876774,37502.65228960962,34327.73046875,0.00014129104965832084,3.6758501529693604,2.5392963886260986,1.0,finite,finite,5272694.5,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,affine,stage1_grid,2.1810154653305154,2.1810154653305154,2.0,2.1810154653305154,12,0.0003,zero,4459.519097768686,145824.28198014965,141364.765625,0.0005818495410494506,7.203583717346191,5.2358317375183105,1.0,finite,finite,15383929.0,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,affine,stage1_grid,2.1810154653305154,2.1810154653305154,2.0,2.1810154653305154,32,1e-05,zero,1413.572920038374,7012.166127790409,5598.59326171875,2.3043499822961167e-05,1.3307512998580933,1.021180272102356,0.625,finite,finite,400324.5,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,affine,stage1_grid,2.1810154653305154,2.1810154653305154,2.0,2.1810154653305154,32,3e-05,zero,4882.937707356831,44207.82534906458,39324.88671875,0.0001618590613361448,3.976684808731079,2.674668788909912,1.0,finite,finite,852737.125,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,affine,stage1_grid,2.1810154653305154,2.1810154653305154,2.0,2.1810154653305154,32,0.0001,zero,130324.46835168479,798541.2214776197,668216.75,0.0027503431774675846,21.244701385498047,10.491150856018066,1.0,finite,finite,15956714.0,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,affine,stage1_grid,2.1810154653305154,2.1810154653305154,2.0,2.1810154653305154,32,0.0003,zero,767895.9190512067,5919958.856045951,5152063.0,0.021205605939030647,44.73258972167969,28.945592880249023,1.0,finite,finite,203317712.0,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,affine,stage1_grid,2.1810154653305154,2.1810154653305154,2.0,2.1810154653305154,64,1e-05,zero,3200.341336604458,25485.875621121795,22285.533203125,9.1726025857497e-05,2.818208694458008,2.0169882774353027,0.875,finite,finite,524524.5,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,affine,stage1_grid,2.1810154653305154,2.1810154653305154,2.0,2.1810154653305154,64,3e-05,zero,88638.47854111854,554512.2452138367,465873.75,0.001917510642670095,19.093852996826172,8.490803718566895,1.0,finite,finite,13858436.0,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,affine,stage1_grid,2.1810154653305154,2.1810154653305154,2.0,2.1810154653305154,64,0.0001,zero,654695.9060772192,4503704.739654173,3849008.75,0.01584230735898018,42.529823303222656,24.648826599121094,1.0,finite,finite,36645576.0,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,affine,stage1_grid,2.1810154653305154,2.1810154653305154,2.0,2.1810154653305154,64,0.0003,zero,3253673.51079058,37366180.974547304,34112508.0,0.14040519297122955,108.31068420410156,79.73583984375,1.0,finite,finite,155861744.0,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,affine,stage1_grid,2.1810154653305154,2.1810154653305154,2.0,2.1810154653305154,128,1e-05,zero,56411.38203578819,374235.93238310463,317824.53125,0.0013081482611596584,16.091630935668945,6.944875717163086,1.0,finite,finite,10327027.0,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,affine,stage1_grid,2.1810154653305154,2.1810154653305154,2.0,2.1810154653305154,128,3e-05,zero,411672.7691990273,2642147.6914634947,2230474.75,0.009180511347949505,36.30033874511719,18.548200607299805,1.0,finite,finite,42282624.0,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,affine,stage1_grid,2.1810154653305154,2.1810154653305154,2.0,2.1810154653305154,128,0.0001,zero,1125417.7699323148,9094157.986466495,7968740.0,0.0327988937497139,52.92888259887695,38.199344635009766,1.0,finite,finite,39257120.0,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,affine,stage1_grid,2.1810154653305154,2.1810154653305154,2.0,2.1810154653305154,128,0.0003,zero,19412047679.44024,79034721377.96452,59622670336.0,245.40362548828125,3745.49609375,3434.322509765625,1.0,finite,finite,99536076800.0,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_moderate,direct_epsilon,stage1_grid,3.084421650815882,3.084421650815882,2.8284271247461903,3.084421650815882,12,1e-05,zero,280.0396307676883,575.9570807188602,295.9174499511719,9.320694971393095e-07,0.24457643926143646,0.21077567338943481,0.0,finite,finite,89243.2578125,True,True,True,valid,True,adam_all_finite,True
open_loop_moderate,direct_epsilon,stage1_grid,3.084421650815882,3.084421650815882,2.8284271247461903,3.084421650815882,12,3e-05,zero,426.0046139873739,2037.0303708233114,1611.0257568359375,5.074347427580506e-06,0.6292123198509216,0.4881768226623535,0.0,finite,finite,48766.27734375,True,True,True,valid,True,adam_all_finite,True
