run_id,mechanism,optimizer,phase,point_index,lambda_multiplier,lambda,objective_gain_over_zero,task_loss_gain_over_zero,energy_penalty,energy_mean,max_norm_over_cap,mean_norm_over_cap,cap_bound_fraction,finite_status,gradient_status,gradient_norm,useful,interior,valid,failure_mode,optimizer_success,optimizer_status,optimizer_iterations,optimizer_evaluations
open_loop_small,linear_no_bias,lbfgsb,probe,0,0.5,55698273.34399999,279690535.8269988,4424473348.27303,4144782592.0,74.41492462158203,1967.9801025390625,1895.305908203125,1.0,finite,finite,57434656768.0,True,False,False,cap_bound,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,22
open_loop_small,linear_no_bias,lbfgsb,probe,1,1.0,111396546.68799998,252078.79638263062,1193811.5719079527,941732.75,0.00845387764275074,21.949647903442383,20.042234420776367,1.0,finite,finite,87135160.0,True,False,False,cap_bound,True,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,8,17
open_loop_small,linear_no_bias,lbfgsb,probe,2,2.0,222793093.37599996,733.7245818081183,4246.849814298109,3513.125244140625,1.5768555385875516e-05,0.9112640619277954,0.8717853426933289,0.0,finite,finite,736824.6875,True,True,True,valid,True,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,8,11
open_loop_small,linear_no_bias,lbfgsb,probe,3,4.0,445586186.7519999,131.55746289428953,341.28209076594885,209.72462463378906,4.706712957158743e-07,0.17256514728069305,0.15064692497253418,0.0,finite,finite,310641.0625,True,True,True,valid,True,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,8,11
open_loop_small,linear_no_bias,lbfgsb,probe,4,8.0,891172373.5039998,50.326460310447146,110.90924186109623,60.58277893066406,6.798099150273629e-08,0.07026662677526474,0.05711548402905464,0.0,finite,finite,275434.375,True,True,True,valid,True,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,8,11
open_loop_small,linear_no_bias,lbfgsb,bisection,5,1.4142135623730951,157538507.12769726,29253.912991281002,328831.602657836,299577.6875,0.0019016156438738108,10.119607925415039,9.534757614135742,1.0,finite,finite,12894425.0,True,False,False,cap_bound,True,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,8,12
open_loop_small,linear_no_bias,lbfgsb,bisection,6,1.6817928305074292,187345913.56316447,2642.0254500066794,35961.55905117475,33319.53515625,0.00017785033560357988,3.074786901473999,2.9170169830322266,1.0,finite,finite,2008848.625,True,False,False,cap_bound,True,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,8,11
open_loop_small,linear_no_bias,lbfgsb,bisection,7,1.8340080864093424,204302167.42386782,1195.884300675275,9735.05897592975,8539.1748046875,4.179678944637999e-05,1.487168312072754,1.4168877601623535,1.0,finite,finite,1097502.125,True,False,False,cap_bound,True,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,8,11
open_loop_small,affine,line_search_known_direction,probe,0,0.5,55698273.34399999,1491.3045770412855,1829.7418329006605,338.437255859375,6.076261342968792e-06,0.5422961711883545,0.5422961711883545,0.0,finite,finite,332.39923095703125,True,True,True,valid,True,best_grid_amplitude,8,8
open_loop_small,affine,line_search_known_direction,probe,1,1.0,111396546.68799998,1152.8673211819105,1829.7418329006605,676.87451171875,6.076261342968792e-06,0.5422961711883545,0.5422961711883545,0.0,finite,finite,247.78985595703125,True,True,True,valid,True,best_grid_amplitude,8,8
open_loop_small,affine,line_search_known_direction,probe,2,2.0,222793093.37599996,475.9928094631605,1829.7418329006605,1353.7490234375,6.076261342968792e-06,0.5422961711883545,0.5422961711883545,0.0,finite,finite,78.57099914550781,True,True,True,valid,True,best_grid_amplitude,8,8
open_loop_small,affine,line_search_known_direction,probe,3,4.0,445586186.7519999,6.131423545317375,175.35005147500488,169.2186279296875,3.797663339355495e-07,0.13557404279708862,0.13557404279708862,0.0,finite,finite,34.586761474609375,True,True,True,valid,True,best_grid_amplitude,8,8
open_loop_small,affine,line_search_known_direction,probe,4,8.0,891172373.5039998,5.081156585873032,26.23348507708397,21.152328491210938,2.3735395870971843e-08,0.033893510699272156,0.033893510699272156,0.0,finite,finite,20.408592224121094,True,True,True,valid,True,best_grid_amplitude,8,8
open_loop_small,affine,adam,probe,0,0.5,55698273.34399999,58811.91617700654,88899.44800741793,30087.53125,0.0005401878734119236,6.606359004974365,5.006347179412842,1.0,finite,finite,15529805.0,True,False,False,cap_bound,True,adam_all_finite,12,12
open_loop_small,affine,adam,probe,1,1.0,111396546.68799998,31530.221452220387,73762.41334237337,42232.19140625,0.0003791158087551594,5.06931734085083,4.248715400695801,1.0,finite,finite,8412853.0,True,False,False,cap_bound,True,adam_all_finite,12,12
open_loop_small,affine,adam,probe,2,2.0,222793093.37599996,3239.3924014863414,18797.648287415323,15558.255859375,6.983275670791045e-05,2.433443784713745,1.7843862771987915,0.875,finite,finite,2496565.25,True,False,False,cap_bound,True,adam_all_finite,12,12
open_loop_small,affine,adam,probe,3,4.0,445586186.7519999,62.26218943225285,667.9723027381942,605.7100830078125,1.3593556786872796e-06,0.3107311725616455,0.2521527409553528,0.0,finite,finite,4978956.5,True,True,True,valid,True,adam_all_finite,12,12
open_loop_small,affine,adam,probe,4,8.0,891172373.5039998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite,10579237.0,False,True,False,not_useful,True,adam_all_finite,12,12
open_loop_small,affine,adam,bisection,5,2.8284271247461903,315077014.2553945,333.11571096007265,2406.2797641050392,2073.1640625,6.579864475497743e-06,0.7684429883956909,0.5576810240745544,0.0,finite,finite,3443998.75,True,True,True,valid,True,adam_all_finite,12,12
open_loop_small,affine,adam,bisection,6,2.378414230005442,264947131.81620476,829.9551409457172,8610.90817425611,7780.953125,2.936794589913916e-05,1.5938162803649902,1.1654953956604004,0.75,finite,finite,2833262.0,True,False,False,cap_bound,True,adam_all_finite,12,12
open_loop_small,affine,adam,bisection,7,2.5936791093020193,288926895.9930526,510.17740772264096,3611.950239194316,3101.772705078125,1.073549356078729e-05,0.975540041923523,0.7108515501022339,0.0,finite,finite,3120140.75,True,True,True,valid,True,adam_all_finite,12,12
open_loop_small,affine,lbfgsb,probe,0,0.5,55698273.34399999,273009931.0454655,4345965291.810058,4072955136.0,73.1253433227539,1951.484130859375,1878.63134765625,1.0,finite,finite,56736071680.0,True,False,False,cap_bound,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,22
open_loop_small,affine,lbfgsb,probe,1,1.0,111396546.68799998,252148.28480682478,1180680.715431601,928532.4375,0.00833537895232439,21.522491455078125,19.991697311401367,1.0,finite,finite,88304216.0,True,False,False,cap_bound,True,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,8,17
open_loop_small,affine,lbfgsb,probe,2,2.0,222793093.37599996,878.8974342126321,5589.11589879644,4710.21826171875,2.1141671822988428e-05,1.070586085319519,1.0104788541793823,0.625,finite,finite,948056.0625,True,False,False,cap_bound,True,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,8,11
open_loop_small,affine,lbfgsb,probe,3,4.0,445586186.7519999,143.18633308560857,380.14110036919647,236.9547576904297,5.317821205608197e-07,0.1927625983953476,0.15983715653419495,0.0,finite,finite,334204.0625,True,True,True,valid,True,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,8,11
open_loop_small,affine,lbfgsb,probe,4,8.0,891172373.5039998,53.51500504125852,118.9642229529336,65.44921875,7.344170427359131e-08,0.07459376007318497,0.059298064559698105,0.0,finite,finite,285594.28125,True,True,True,valid,True,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,8,11
