beta,gamma,J_clean,J_adv,D,D_x,D_u,D_T,clean_x,clean_u,clean_T,adv_x,adv_u,adv_T,E_w,D_over_E_w,max_x_clean,max_x_adv,max_u_clean,max_u_adv,max_w_adv,max_xhat_clean,max_xhat_adv,recursion_D,rollout_recursion_D_abs_diff,rollout_recursion_J_clean_abs_diff,rollout_recursion_J_adv_abs_diff,riccati_spectral_radius_max,riccati_spectral_radius_margin_min,riccati_bracket_cond_max,riccati_max_P_cond,estimator_precision_min_eig_min,estimator_precision_cond_max,estimator_covariance_min_eig_min,estimator_covariance_cond_max,gain_op_max,policy_op_max,clean_joint_step_spectral_radius_max,adv_joint_step_spectral_radius_max,clean_joint_cumulative_op_norm_max,adv_joint_cumulative_op_norm_max,finite_all
1.338,12265.220259963977,4455.199093602495,494193.5244416847,489738.32534808223,430488.3696861007,785.7300092495159,58464.225652732,2559.477732353612,1895.4592721342008,0.26208911468278245,433047.8474184543,2681.1892813837167,58464.48774184668,0.003270649199602532,149737344.31916392,18.32867214680119,18.328149853571944,20.797030700302116,20.797030700302116,0.01171117184609763,18.32867262884214,18.328149244447225,489738.32535190304,3.820809070020914e-06,5.638867150992155e-11,3.820750862360001e-06,0.07325277629352128,0.9267472237064787,27912.567372958736,1037887835764.859,0.06278173857961857,1283.7846700104944,0.009899084021166342,1271.2477011225676,889.6234383201042,3.4817957144003313,1.0,3.651633778640002,310.5872784665126,383.04340875124797,True
1.339,12274.38709124945,4454.956416232354,880387.4739276359,875932.5175114035,770317.3133928846,1253.0048909451173,104362.19922757392,2559.598537089428,1895.0934794656466,0.26439967727977753,772876.911929974,3148.098370410764,104362.4636272512,0.005834463459033971,150130774.4339587,18.327096456194948,18.95332824612934,20.79514130894781,20.79514130894781,0.01562862757616684,18.327096937473605,18.95234603529993,875932.5175163066,4.903064109385014e-06,2.4556356947869062e-11,4.902947694063187e-06,0.07303931500686875,0.9269606849931312,27823.281285593006,1037739592995.19,0.06278439338363626,1283.784670000581,0.009899084021166538,1271.2477011203332,888.193284763801,3.256567195231108,1.0,3.477348581808426,310.53033506899635,460.56007522287075,True
1.34,12283.553922534924,4454.714495343848,1985027.833214379,1980573.118719035,1742591.9161118336,2480.2673911193488,235500.93521608206,2559.719100747112,1894.7286749754915,0.2667196212455276,1745151.6352125807,4374.99606609484,235501.2019357033,0.01315748214393168,150528277.14704433,18.32552464652075,23.79700621503739,20.793256610611866,20.793256610611866,0.023449830199324503,18.32552512703897,23.794959732101145,1980573.1186633084,5.572661757469177e-05,4.4565240386873484e-11,5.572661757469177e-05,0.07282695302589841,0.9271730469741016,27734.632302225058,1037591735402.9144,0.06278704151386351,1283.7846699907343,0.009899084021166153,1271.2477011181086,886.7710389264897,7.558116771908772,1.0,5.260171252221311,310.47354100306734,617.4617390830983,True
1.341,12292.720753820397,4454.473328353231,7929366.615066963,7924912.14173861,6976040.830282873,8479.81999463228,940391.4914611053,2559.8394245486675,1894.364854887193,0.26904891737085457,6978600.669707421,10374.184849519474,940391.7605100226,0.05250728300543265,150929769.8934196,18.323956704742912,39.55370474634859,20.79137658936298,22.577423396016236,0.04680497961985869,18.323957184502515,39.548007800183726,7924912.141772588,3.39774414896965e-05,1.3278622645884752e-10,3.39774414896965e-05,0.07261568197699482,0.9273843180230051,27646.614037101954,1037444261608.6877,0.06278968299178375,1283.7846699808858,0.00989908402116639,1271.2477011158842,885.3566366019451,5.167110016485136,1.0,5.066659677004787,310.41689573024235,1093.6910419289657,True
1.342,12301.887585105871,4454.232912685625,166706133024.77844,166706128570.54553,146818107373.7883,147339666.9158676,19740681529.841385,2559.9595097058527,1894.0020154434637,0.27138753630873735,146818109933.7478,147341560.91788304,19740681530.112774,1101.5689685080347,151335171.32053235,18.32239261788145,4750.866092007703,20.789501229338317,3238.5010826150015,6.773502519540786,18.32239309688428,4749.717949631289,166706128570.5458,0.000274658203125,1.000444171950221e-11,0.000274658203125,0.07240549357147949,0.9275945064285205,27559.220186450515,1037297170239.5001,0.06279231783880096,1283.7846699711256,0.00989908402116607,1271.2477011136668,883.9500142750736,3.332195780264215,1.0,2.7173225693407574,310.3603987145241,138396.64650709758,True
1.343,12311.054416391344,4453.993245775036,8273155.837860071,8268701.844614296,7285887.495489806,5737.62686026499,977076.7222642254,2560.0793574202517,1893.6401529062068,0.27373544857699555,7288447.574847226,7631.267013171197,977076.995999674,0.05449098467039888,151744401.2918728,18.32083237301214,32.77634005920256,20.78763051474434,22.555654531020682,0.04759827917832513,18.32083285126002,32.75173747972577,8268701.844614051,2.4493783712387085e-07,1.2732925824820995e-11,2.4493783712387085e-07,0.07219637960453505,0.9278036203954649,27472.444527173688,1037150459928.6765,0.06279494607623323,1283.7846699613413,0.009899084021166873,1271.2477011114527,882.5511091126514,0.3415119168895069,1.0,1.1243223877934274,310.3040494223952,954.9747546113725,True
1.344,12320.22124767682,4453.7543250643075,2072297.7608754984,2067844.006550434,1822986.1776463997,1034.7414077954738,243823.08749623902,2560.1989688833937,1893.2792635563526,0.27609262456124295,1825546.376615283,2928.0206713518264,243823.36358886358,0.013590165619735492,152157380.8892758,18.319275957266086,18.32449498167202,20.78576442985596,20.78576442985596,0.023749759133420957,18.319276434760827,18.32441467809651,2067844.006550527,9.289942681789398e-08,8.003553375601768e-11,9.266659617424011e-08,0.07198833195414582,0.9280116680458542,27386.28091562442,1037004129315.8368,0.0627975677253232,1283.7846699515833,0.009899084021166588,1271.2477011092444,881.1598589541949,0.3241994020535515,1.0,1.1121869869962862,310.24784732279437,478.4953076060561,True
1.345,12329.388078962293,4453.516148005119,928118.7863227886,923665.2701747834,814711.6379437913,280.32656802084557,108673.30566297118,2560.3183452768267,1892.919343693774,0.27845903451771215,817271.9562890682,2173.2459117146195,108673.58412200569,0.006053882535322377,152574032.41399315,18.317723357829493,18.32165339070638,20.78390295901622,20.78390295901622,0.015837196308435532,18.317723834572917,18.321592369040147,923665.2701747521,3.1315721571445465e-08,6.912159733474255e-11,3.14321368932724e-08,0.07178134258005409,0.9282186574199459,27300.723286353747,1036858177046.8589,0.0628001828072281,1283.784669941876,0.009899084021166753,1271.2477011070414,879.7762023029935,0.3113454265589519,1.0,1.1034136917170305,310.1917918871108,333.76273119370484,True
1.346,12338.554910247767,4453.278712057906,527247.4751862386,522794.19647418073,461367.3211707017,54.03190416784969,61372.843399311154,2560.437487772255,1892.5603896370746,0.28083464857598994,463927.75865847396,1946.5922938049243,61373.12423395973,0.003417083295991121,152994279.38660914,18.316174561943086,18.319460537047902,20.782046086635663,20.782046086635663,0.011887765726362772,18.316175037936986,18.319408853602155,522794.19647420925,2.852175384759903e-08,7.821654435247183e-11,2.8405338525772095e-08,0.07157540352273253,0.9284245964772675,27215.765650908714,1036712601773.806,0.06280279134302319,1283.7846699321644,0.009899084021166855,1271.2477011048425,878.4000783172698,0.3006971707444586,1.0,1.0962848076633323,310.1358825891629,329.30377458733017,True
1.347,12347.72174153324,4453.042014691891,341285.6593412234,336832.61732653156,297412.9531044586,-33.639243725693404,39453.30346579863,2560.5563975315627,1892.2023977235865,0.2832194367418711,299973.50950199016,1858.563153997893,39453.58668523537,0.0021955214846635404,153418046.5458531,18.31462955690235,18.317528670530045,20.780193797192485,20.780193797192485,0.00952026962528423,18.314630032148543,18.31748250216108,336832.61732661916,8.760252967476845e-08,5.911715561524034e-11,8.754432201385498e-08,0.07137050690237212,0.9286294930976279,27131.402096643018,1036567402154.9672,0.06280539335370497,1283.7846699224358,0.009899084021166772,1271.2477011026504,877.0314268014968,0.29179707131693017,1.0,1.0907890338989772,310.08011890519293,326.6104700878883,True
