beta,gamma,deterministic_clean_cost,deterministic_adversarial_cost,deterministic_damage,noisy_clean_cost,noisy_adversarial_cost,noisy_damage
1.334,12228.55293482208,4456.177419887887,123649.6254616334,119193.44804174552,4812.818816130332,1224620.1980396162,1219807.379223486
1.335,12237.719766107553,4455.931690574516,161207.0274483409,156751.0957577664,4811.791663703886,151947.30429125854,147135.51262755465
1.336,12246.886597393028,4455.686728167489,219266.3910020645,214810.70427389702,4810.770213921785,4887651.786623622,4882841.016409701
1.337,12256.053428678502,4455.442530046924,315860.34698112134,311404.9044510744,4809.754419844508,516081.3662376455,511271.611817801
1.338,12265.220259963977,4455.199093602439,494193.52444550546,489738.32535190304,4808.744235064907,174407.75679259124,169599.01255752635
1.339,12274.38709124945,4454.9564162323295,880387.4739325389,875932.5175163066,4807.7396137030455,539359.8665540195,534552.1269403164
1.34,12283.553922534924,4454.714495343893,1985027.8331586523,1980573.1186633084,4806.74051039589,2895203.0727284746,2890396.332218079
1.341,12292.720753820397,4454.473328353099,7929366.615100941,7924912.141772588,4805.746880292379,5764443.419327135,5759637.672446843
1.342,12301.887585105871,4454.232912685635,166706133024.77872,166706128570.5458,4804.758679043555,167821321707.1181,167821316902.35944
1.343,12311.054416391344,4453.993245775023,8273155.837859826,8268701.844614051,4803.775862797869,8967403.899711853,8962600.123849055
1.344,12320.22124767682,4453.7543250642275,2072297.760875591,2067844.006550527,4802.798388191642,2383081.378044377,2378278.5796561856
1.345,12329.388078962293,4453.51614800505,928118.7863227571,923665.2701747521,4801.826212344198,1116172.4468188891,1111370.620606545
1.346,12338.554910247767,4453.278712057828,527247.475186267,522794.19647420925,4800.859292849316,656617.5212369518,651816.6619441025
1.347,12347.72174153324,4453.042014691832,341285.65934131097,336832.61732661916,4799.897587769265,437057.3826266679,432257.48503889865
1.348,12356.888572818714,4452.806053385019,239991.9894776406,235539.18342425558,4798.941055628674,314395.6258368357,309596.68478120706
1.349,12366.055404104187,4452.570825623963,178731.70882829092,174279.13800266696,4797.989655406619,238562.99927388394,233765.0096184773
1.35,12375.222235389661,4452.336328903788,138846.22212369286,134393.88579478906,4797.043346531459,188228.68076059537,183431.6374140639
1.351,12384.389066675136,4452.102560729043,111412.2958824815,106960.19332175245,4796.1020888740395,153012.73297050907,148216.63088163504
1.352,12393.55589796061,4451.869518611865,91724.2804460616,87272.41092744973,4795.165842741376,127353.22533425511,122558.05949151373
1.353,12402.722729246083,4451.637200073811,77108.79886214076,72657.16166206695,4794.234568871005,108043.48758859202,103249.25301972101
1.354,12411.889560531557,4451.405602644132,65955.1714896137,61503.765886969566,4793.308228424529,93125.11275064675,88331.80452222221
