run_id,mechanism,beta,beta_role,lambda,adam_steps,adam_learning_rate,finite_status,gradient_status,optimizer_success,optimizer_status,optimizer_iterations,optimizer_evaluations,selected_nonzero,classification,adam_objective_level_success,penalized_gain_over_zero,task_loss_gain,energy_mean,energy_max,energy_penalty,penalty_minus_task_gain,penalty_over_task_gain_abs,selected_policy_norm_mean,selected_policy_norm_max,old_cap_ratio_mean_sidecar,old_cap_ratio_max_sidecar,old_cap_boundary_fraction_sidecar,old_cap_used_as_criterion,reference_optimizer,reference_classification,reference_objective_level_success,reference_selected_nonzero,reference_penalized_gain_over_zero,reference_task_loss_gain,matches_reference_success,matches_reference_classification,matches_reference_selected_nonzero,agreement,gradient_norm
open_loop_small,direct_epsilon,1.4,candidate_training_scale,501596263.42776954,32,1e-05,finite,finite,True,adam_all_finite,32,32,True,nonzero_positive_penalized_and_task_gain,True,113.46697339527418,334.79538831226637,4.4124814735369e-07,5.016868840357347e-07,221.32842195703677,-113.4669663552296,0.6610856352376095,0.0006626980612054467,0.0007082985830493271,0.1457921266555786,0.15582412481307983,0.0,False,pgd_projected_epsilon,nonzero_positive_penalized_and_task_gain,True,True,36.9679812501854,684.7032508589191,True,True,True,agrees_with_reference_classification,18475.62109375
open_loop_small,direct_epsilon,1.4,candidate_training_scale,501596263.42776954,32,5e-05,finite,finite,True,adam_all_finite,32,32,True,nonzero_positive_penalized_and_task_gain,True,111.06459709904902,296.8865117719006,3.7046112311145407e-07,3.838659381472098e-07,185.82191509796027,-111.06459667394031,0.6259021805636229,0.000608555506914854,0.000619569153059274,0.1338808834552765,0.1363038569688797,0.0,False,pgd_projected_epsilon,nonzero_positive_penalized_and_task_gain,True,True,36.9679812501854,684.7032508589191,True,True,True,agrees_with_reference_classification,57875.58984375
open_loop_small,direct_epsilon,1.4,candidate_training_scale,501596263.42776954,32,0.0001,finite,finite,True,adam_all_finite,32,32,True,nonzero_positive_penalized_and_task_gain,True,104.62319137491613,322.0172496024552,4.3340446609363426e-07,4.822558139494504e-07,217.39406074547438,-104.62318885698082,0.6751006693394752,0.000657284923363477,0.0006944463821128011,0.1446012258529663,0.15277667343616486,0.0,False,pgd_projected_epsilon,nonzero_positive_penalized_and_task_gain,True,True,36.9679812501854,684.7032508589191,True,True,True,agrees_with_reference_classification,115258.84375
open_loop_small,direct_epsilon,1.4,candidate_training_scale,501596263.42776954,128,1e-05,finite,finite,True,adam_all_finite,128,128,True,nonzero_positive_penalized_and_task_gain,True,113.82129367321068,337.412434420281,4.4575918423106486e-07,4.90709453515592e-07,223.59114119891288,-113.82129322136811,0.6626642008113065,0.0006668006535619497,0.0007005065563134849,0.14669466018676758,0.1541098952293396,0.0,False,pgd_projected_epsilon,nonzero_positive_penalized_and_task_gain,True,True,36.9679812501854,684.7032508589191,True,True,True,agrees_with_reference_classification,279.4027404785156
open_loop_small,direct_epsilon,1.4,candidate_training_scale,501596263.42776954,128,5e-05,finite,finite,True,adam_all_finite,128,128,True,nonzero_positive_penalized_and_task_gain,True,113.82365256796675,337.61067039023237,4.461496985186386e-07,4.915149247608497e-07,223.78702170637501,-113.82364868385736,0.6628552985239105,0.000667078304104507,0.0007010812405496836,0.14675575494766235,0.1542363315820694,0.0,False,pgd_projected_epsilon,nonzero_positive_penalized_and_task_gain,True,True,36.9679812501854,684.7032508589191,True,True,True,agrees_with_reference_classification,478.8551025390625
open_loop_small,direct_epsilon,1.4,candidate_training_scale,501596263.42776954,128,0.0001,finite,finite,True,adam_all_finite,128,128,True,nonzero_positive_penalized_and_task_gain,True,113.81661309772244,337.4095543819021,4.457627937881625e-07,4.902520345240191e-07,223.5929517392657,-113.81660264263644,0.6626752231390242,0.0006668207934126258,0.0007001800113357604,0.14669910073280334,0.15403805673122406,0.0,False,pgd_projected_epsilon,nonzero_positive_penalized_and_task_gain,True,True,36.9679812501854,684.7032508589191,True,True,True,agrees_with_reference_classification,1021.6893920898438
open_loop_small,direct_epsilon,1.8,candidate_training_scale,829169333.4214151,8,1e-05,finite,finite,True,adam_all_finite,8,8,True,nonzero_positive_penalized_and_task_gain,True,43.83615693949832,160.52203187846317,1.407262288921629e-07,1.532327473796613e-07,116.6858734054242,-43.836158473038964,0.7269150037533237,0.00037476368015632033,0.0003914495464414358,0.08244718611240387,0.08611803501844406,0.0,False,pgd_projected_epsilon,zero_selected_no_positive_penalized_gain,False,False,3.113458660664037e-06,0.0,False,False,False,fails_reference_objective_success,92751.2734375
open_loop_small,direct_epsilon,1.8,candidate_training_scale,829169333.4214151,8,5e-05,finite,finite,True,adam_all_finite,8,8,True,nonzero_positive_penalized_and_task_gain,True,31.14960112746303,63.73321929152553,3.9296701004332135e-08,4.837534106627572e-08,32.58361937742273,-31.1495999141028,0.5112501728240064,0.0001968886936083436,0.00021994394774083048,0.04331507906317711,0.048387184739112854,0.0,False,pgd_projected_epsilon,zero_selected_no_positive_penalized_gain,False,False,3.113458660664037e-06,0.0,False,False,False,fails_reference_objective_success,158678.046875
open_loop_small,direct_epsilon,1.8,candidate_training_scale,829169333.4214151,8,0.0001,finite,finite,True,adam_all_finite,8,8,True,nonzero_positive_penalized_and_task_gain,True,40.34746100695884,168.37460639270103,1.5440409129041655e-07,1.7687506215224857e-07,128.027137452814,-40.34746893988702,0.7603708195416096,0.0003918955917470157,0.0004205651639495045,0.08621616661548615,0.09252341091632843,0.0,False,pgd_projected_epsilon,zero_selected_no_positive_penalized_gain,False,False,3.113458660664037e-06,0.0,False,False,False,fails_reference_objective_success,112498.25
open_loop_small,direct_epsilon,1.8,candidate_training_scale,829169333.4214151,32,1e-05,finite,finite,True,adam_all_finite,32,32,True,nonzero_positive_penalized_and_task_gain,True,49.57713636816334,131.08591017187427,9.830171876501481e-08,1.0725682386691915e-07,81.50877062256674,-49.57713954930753,0.6217965799352189,0.0003132049459964037,0.0003275008639320731,0.06890439987182617,0.07204946875572205,0.0,False,pgd_projected_epsilon,zero_selected_no_positive_penalized_gain,False,False,3.113458660664037e-06,0.0,False,False,False,fails_reference_objective_success,37391.03125
open_loop_small,direct_epsilon,1.8,candidate_training_scale,829169333.4214151,32,5e-05,finite,finite,True,adam_all_finite,32,32,True,nonzero_positive_penalized_and_task_gain,True,47.807397730979574,113.03782833400692,7.86696148225019e-08,8.790065919583867e-08,65.23043208289337,-47.807396251113545,0.5770672795495408,0.0002799962239805609,0.00029648045892827213,0.061598554253578186,0.06522504985332489,0.0,False,pgd_projected_epsilon,zero_selected_no_positive_penalized_gain,False,False,3.113458660664037e-06,0.0,False,False,False,fails_reference_objective_success,96501.1328125
